nomor_pkk,nomor_spb
PKK.DN.IDSUB.2503.000563,SPB.IDSUB.0325.0000748
PKK.DN.IDSUB.2503.000562,SPB.IDSUB.0325.0000747
PKK.DN.IDKUM.2503.000065,SPB.IDKUM.0325.0000144
PKK.DN.IDSMQ.2503.000098,SPB.IDSMQ.0325.0000318
PKK.DN.IDBDJ.2503.000966,SPB.IDBDJ.0325.0002465
PKK.DN.IDBDJ.2503.000965,SPB.IDBDJ.0325.0002464
PKK.DN.IDBDJ.2503.002411,SPB.IDBDJ.0325.0002461
PKK.LN.IDSRG.2503.000205,SPB.IDSRG.0325.0000224
PKK.DN.IDBDJ.2503.002410,SPB.IDBDJ.0325.0002459
PKK.DN.IDSRG.2503.000141,SPB.IDSRG.0325.0000223
PKK.DN.IDBDJ.2503.002291,SPB.IDBDJ.0325.0002455
PKK.DN.IDBDJ.2503.000314,SPB.IDBDJ.0325.0002453
PKK.DN.IDBDJ.2503.002249,SPB.IDBDJ.0325.0002450
PKK.DN.IDBDJ.2503.002056,SPB.IDBDJ.0325.0002448
PKK.DN.IDBDJ.2503.002055,SPB.IDBDJ.0325.0002447
PKK.DN.IDBDJ.2503.002106,SPB.IDBDJ.0325.0002445
PKK.DN.IDBDJ.2503.002398,SPB.IDBDJ.0325.0002444
PKK.DN.IDBDJ.2503.000786,SPB.IDBDJ.0325.0002440
PKK.DN.IDBDJ.2503.000785,SPB.IDBDJ.0325.0002439
PKK.DN.IDSRG.2503.000140,SPB.IDSRG.0325.0000222
PKK.DN.IDBDJ.2503.002292,SPB.IDBDJ.0325.0002456
PKK.DN.IDBDJ.2503.000315,SPB.IDBDJ.0325.0002454
PKK.DN.IDBDJ.2503.001015,SPB.IDBDJ.0325.0002452
PKK.DN.IDBDJ.2503.001014,SPB.IDBDJ.0325.0002451
PKK.DN.IDBDJ.2503.002247,SPB.IDBDJ.0325.0002449
PKK.DN.IDBDJ.2503.002107,SPB.IDBDJ.0325.0002446
PKK.DN.IDBDJ.2503.002397,SPB.IDBDJ.0325.0002443
